,address,eth_balance
5556,0x3cdfb5868ff61949824c6a6bb608661ecffe5178,1251.564315820576217963
5663,0x0dda86e32fd9eeb5f69314dd8b1d75e813c3cf08,1218.918259138777118606
5964,0xef83e6853ca9a6fda0575027c37fa0d27aac9b75,1140.113
6021,0x7835414b6a4af5a63e5ffc68ea3a392b9eb4032b,1124.717874749299238561
6123,0xbbbfb529ee4d7dcfc41a2c3fcdd179aea2775c50,1100.322090600468095
6124,0x43b8b190b6415e48c76d19029387753814a9d6dd,1100.319943324921308736
6416,0x13f83d42801b9f9317fe18b14d2878942f227138,1030.3294
6427,0x9f8c06a1463f358bc31d7ff47fc82a0e7a51f130,1028.967693879999984258
6750,0xfe3e308475deba7b1065a21c7dbe6cfc034c0451,1000.199748
6969,0x6cb4ead49708e3054711d4e471934a31964b3f95,1000
7111,0xe1c4d42f43f8fb6fa1ad64dd8d3d1eaf051d4f1e,994.4071035544211
7121,0x2465e4d71fc197f714befb2a171035e6fcb4163d,991.797661446
7182,0x0f273cf71c6b335e63683cda720e7bdaf55fa686,977.407741498021053
7328,0xb8cc3c8bf523ef7fccda537d99e85ee25d532e82,944.463996978397160887
7494,0x8dac4436854ae2df5fb08860394b08ea689f12de,909.491757329150653842
7593,0xb2b7f1602c2ae2de72f054d26ed711608a12e6e0,900
7667,0x8e277eb0b764e344ccde35421d3ee35a4efb0cd2,900
7694,0x727fc774c6f4aa4541571b5c89de7b0bf147805c,900
7985,0x92658e77484dc71b0a68345583a55cb6f8b4e4c8,844.763532
8049,0xb304bf5a9f91cf7d252fe2390073f52bf1d0b0a6,833
8053,0x51f9c432a4e59ac86282d6adab4c2eb8919160eb,832.29637202
8096,0x5937f64670545698c2c92f2707093cd84c106351,826.659106654007602539
8216,0x4dc354199fd592f3c9afab114cb38cfbe9bce822,805.86154585
8282,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,800.367566174022660026
8475,0x3eebf876c42df32b8b60ae3051544e07ee717a9d,778.833329221558791438
8689,0x7830228d46128b451e81c494dc3ed2e30dc0c2a6,750.024897541
8761,0x02264c378422e52a3ed1dff0d0e92cd8c82d9ea6,742.32192084
9166,0xc150fe7384aa33c139e13de17b040fe53414cce0,700.00651121
9224,0xba401cdac1a3b6aeede21c9c4a483be6c29f88c5,694.957203112441243518
9529,0x5c5cf647934edc78d3b1d60504d82393c0ce3da9,663.8953
9587,0x96f578adbeaa1f243c371d75bc722de27b6cad27,656.938598167532450887
9812,0xdc4cadc65123ebd371887cad59cc8c6f8f6fc29c,634.276544760930872384
9878,0x3bb1721b0333d2e7870f615f8c97d72125a85992,628.459850713864171
10189,0xe6ade38440eb910974a22af0157a359e3001be59,604.122184103154843269
10204,0x83a808a5e5addf9015cf1d976f686fa2c68974ff,603.405897603330315
10453,0xd59128850232f69f0d0f95dd7568fbbcac8a7418,590.764977286323006843
10489,0x963ec454423cd543db08bc38fc7b3036b425b301,588.717539940668847098
10546,0xd7e4ddfbb4ec8146f3f97fad8473008da9a49baf,584.666227009934378702
