,Name,Initial Distribution,Unpaid Bonus Factor,praisemaggedon,Final Distribution
199,tokenbrice,0.00041391903372420356,1.0,0.0013211341285134944,0.0008493822792230632
202,yalormewn,0.00039893559322303325,1.0,0.0013211341285134944,0.0008415908901624545
203,maxsong123,0.0003926901890727728,1.0,0.0013211341285134944,0.0008383432800043191
204,ryanchrypto,0.000368475925498885,1.0,0.0013211341285134944,0.0008257518629458975
206,johnpaller#2670,0.0003631120214580112,1.0,0.0013211341285134944,0.0008229626328446431
207,exiledsurfer,0.000359859129463831,1.0,0.0013211341285134944,0.0008212711290076694
211,comandoburrito,0.00034333370917605574,1.0,0.0013211341285134944,0.0008126779104580262
212,paul2#3057,0.0003400212268118938,1.0,0.0013211341285134944,0.000810955419628662
213,mettodo#7010,0.00033789150397353467,1.0,0.0013211341285134944,0.0008098479637527153
217,hxrts,0.00031509781270180914,1.0,0.0013211341285134944,0.000797995244291418
220,michel bauwens#1511,0.00030199497269159896,1.0,0.0013211341285134944,0.0007911817674861087
224,eugene#1706,0.0002962168104770433,1.0,0.0013211341285134944,0.0007881771231345398
229,gcrewe,0.00027808791259027814,1.0,0.0013211341285134944,0.0007787500962334219
230,aleezagroks,0.0002777953371053286,1.0,0.0013211341285134944,0.0007785979569812482
243,willyogo,0.0002575399707038653,1.0,0.0013211341285134944,0.0007680651664524873
244,ferranrego,0.0002551795206502203,1.0,0.0013211341285134944,0.0007668377324245918
254,hanners717,0.00023755064322729974,1.0,0.0013211341285134944,0.0007576707161646731
257,seedsalchemist,0.00023390100220578952,1.0,0.0013211341285134944,0.0007557729028334878
258,cemfd,0.0002259834622950948,1.0,0.0013211341285134944,0.0007516557820799266
260,edendh,0.0002234205382998785,1.0,0.0013211341285134944,0.000750323061602414
261,blackboxdotart,0.0002226681895252884,1.0,0.0013211341285134944,0.0007499318402396272
262,oedth,0.0002224272870363385,1.0,0.0013211341285134944,0.0007498065709453732
263,barnabemonnot,0.00022090228280511568,1.0,0.0013211341285134944,0.0007490135687451374
114,gyalbo,0.0011999072687047913,1.0,0.0002537157448215503,0.0007457353372408356
268,deam123,0.00020307927010734545,1.0,0.0013211341285134944,0.0007397456021422968
284,meta_dreamer,0.000177109680492085,1.0,0.0013211341285134944,0.0007262414155423615
287,activeinferencelab#3629,0.0001706277357362374,1.0,0.0013211341285134944,0.0007228708042693207
290,ubipromoter,0.00015956370721824232,1.0,0.0013211341285134944,0.0007171175094399633
291,🐙musashi13#5579,0.00015933370006013847,1.0,0.0013211341285134944,0.0007169979057177492
295,jukren#8803,0.0001530584724759534,1.0,0.0013211341285134944,0.000713734787373973
299,ontologymachine,0.00014464063348710237,1.0,0.0013211341285134944,0.0007093575110997704
317,xibot0x,0.00012214749304468542,1.0,0.0013211341285134944,0.0006976610780697137
323,okduncan,0.0001171126335133983,1.0,0.0013211341285134944,0.0006950429511134444
330,elementarycomplexity,0.00011357498072008292,1.0,0.0013211341285134944,0.0006932033716609203
338,harithk17,0.0001011760412069317,1.0,0.0013211341285134944,0.0006867559231140818
349,vasileios_panagiotidis,8.812472159422902e-05,1.0,0.0013211341285134944,0.0006799692369154764
364,atitcomb,7.213049455774701e-05,1.0,0.0013211341285134944,0.0006716522388565057
389,lefterisjp,6.0580712302675596e-05,1.0,0.0013211341285134944,0.0006656463520838686
420,peter (porobov.eth) 🤖#3488,4.5856451118048925e-05,1.0,0.0013211341285134944,0.0006579897362678626
429,sethfork,4.4109829259024534e-05,1.0,0.0013211341285134944,0.00065708149290117
439,cleanapp,2.6979845969624783e-05,1.0,0.0013211341285134944,0.0006481739015906821
443,kelsiemvn,2.0971451822253635e-05,1.0,0.0013211341285134944,0.0006450495366340491
135,sergei_tran,0.000997358357021061,1.0,0.0002537157448215503,0.0006404099031652959
445,scupytrooples,9.53931809893276e-06,1.0,0.0013211341285134944,0.0006391048270979223
136,josevicente1,0.0009913456602239621,1.0,0.0002537157448215503,0.0006372833008308045
138,unquale,0.0009667503475198316,1.0,0.0002537157448215503,0.0006244937382246566
140,sepu85,0.0009554149029369745,1.0,0.0002537157448215503,0.0006185993070415708
141,pprhsk,0.0009545220932565481,1.0,0.0002537157448215503,0.0006181350460077492
143,rogervs,0.0008948803815159015,1.0,0.0002537157448215503,0.000587121355902613
152,aaron_soskin,0.0007470201214209246,1.0,0.0002537157448215503,0.0005102340206532249
154,nelsonm,0.0007231590178784327,1.0,0.0002537157448215503,0.0004978262468111292
157,johann#1308,0.0006999134133406758,1.0,0.0002537157448215503,0.0004857385324514956
159,michal#7390,0.0006794295616585047,1.0,0.0002537157448215503,0.0004750869295767666
161,boring877,0.0006729016523612762,1.0,0.0002537157448215503,0.00047169241674220776
168,fahern#7639,0.0006113032633099857,1.0,0.0002537157448215503,0.0004396612544355367
175,whyldwanderer#7002,0.000559985910612844,1.0,0.0002537157448215503,0.000412976231033023
183,solarpunk_girl,0.00048466498821933513,1.0,0.0002537157448215503,0.0003738093513883984
188,nic#9212,0.00047406927842904667,1.0,0.0002537157448215503,0.0003682995822974484
189,bends#3537,0.00046138147113255486,1.0,0.0002537157448215503,0.0003617019225032727
190,xqtstrategy,0.0004584570437116903,1.0,0.0002537157448215503,0.0003601812202444231
