Name,Initial Distribution,Unpaid Bonus Factor,praisemaggedon,Final Distribution,Final Hours
paulo_c2d,0.008079589263908202,0.6144572281205825,0.013063133109646392,0.010471690309862534,101.9043432133703
trentmc0,0.01242638678162497,1.0466462089275546,0.008237719309525712,0.010415826395017327,101.36070838621475
nuggan#5183,0.011621483830305394,1.0,0.007870586296745379,0.009821053014196586,95.57272297604185
danlessa,0.011388805741334005,1.026770961067905,0.008081289456077136,0.009801197924410709,95.3795048971834
griffgreen,0.013482308114672284,0.25529569729297397,0.005427491977364534,0.009615996368764564,93.57723207094827
freedumbs00,0.01276736637656858,0.6866677765268359,0.005404477992348732,0.009233179952143053,89.85188741762428
metaverde,0.01629105316832112,1.0,0.0013211341285134944,0.00910549202921346,88.60930350448425
shawn_westrick,0.009572187945916412,1.0,0.007870586296745379,0.008755419154314317,85.20259977874335
liviade,0.011923611849119616,0.248728683967255,0.005287879706109987,0.008738460420474995,85.03756733579584
vegayp,0.007131772084124838,0.458623304186462,0.009750161598876827,0.008388599051205793,81.63292185869173
wslyvh,0.00846438309450051,1.0086227576759343,0.007938452455149743,0.008211936387612142,79.91374451758183
mount manu#3530,0.008641537931436223,0.9826733842783498,0.007734215672477586,0.008206023247136077,79.85620130548223
ddan#2489,0.00844240608284668,1.0,0.007870586296745379,0.008167932585518055,79.48552534583402
sherminv,0.007623684900950123,1.0537470135848783,0.00829360680535751,0.007945247415065668,77.31848398318644
🐙 octopus#5508,0.008001096164512856,1.0,0.007870586296745379,0.007938451427984466,77.2523494261566
randomshinichi,0.007153953688584016,1.054162881738632,0.008296879931549695,0.007702558285207542,74.95677582992639
merlinegalite,0.007002156697235747,0.9951006790344255,0.00783202576829037,0.007400493851341966,72.01726207136927
benjaminscholtz,0.006406276173943443,1.028791815993452,0.008097194769161856,0.007217917099648282,70.24053229643958
vntrp,0.006019723712765775,1.046668700462473,0.008237896331092233,0.007084446569562475,68.94167544484567
willjgriff,0.00540010478821634,1.0513367757655605,0.008274636820604888,0.006779880163762843,65.97781396408386
jonathanbsci,0.005091065470536929,1.0834267565387319,0.008527203783541035,0.0067404118607788995,65.59373160733797
suga#8514,0.0030660885963804427,0.4872011617901817,0.01035771626791011,0.006566069878714683,63.8971377766325
tam2140,0.008906864611202565,0.18815258179865968,0.004000054207967078,0.006551595617649531,63.756282764337676
manualzuru,0.005168040947314051,1.0,0.007870586296745379,0.006465262715041088,62.91614163356614
upaul,0.004444955016053359,1.0832360164467894,0.008525702547187151,0.006403713830997579,62.317184023249645
heater03,0.005252388847079787,0.9693579124959153,0.007629415102732057,0.006393361449792877,62.21644072621325
geleeroyale,0.005368760224000721,0.9520454958221237,0.007493156233295766,0.006388470308462343,62.168843009884455
annamarieswan#8824,0.004715571081188523,1.0,0.007870586296745379,0.006229978384655814,60.62649264215859
fvigevani,0.004304211904532093,1.0,0.007870586296745379,0.00601607161279447,58.544877501679075
fiorebotta,0.004443524208724643,0.9134289485909519,0.007189221365830486,0.005761458844135448,56.06713549478467
aminlatifi,0.0038253434540517993,0.9381612665226257,0.0073838792084302655,0.005533440616153463,53.84819594676382
atacas,0.004055287978573396,0.8964107874947385,0.007055278460310822,0.00549528340980736,53.47687241288367
chuygarcia92,0.005734104614924543,0.24266977648536925,0.0051590695769216715,0.005458087796683164,53.1149065397839
tonga2020,0.009269231803217379,1.0,0.0013211341285134944,0.005454144919359515,53.076536772139136
knobsdao,0.0044856402207807755,0.806249432748626,0.0063456557371500705,0.005378447668638037,52.33989556240389
jwaup,0.0026132186029031172,1.0,0.007870586296745379,0.005136755095947403,49.987885318518806
rodrigouy,0.002604798845854294,1.0,0.007870586296745379,0.005132376822282014,49.94527852925388
phil_h,0.002157189392833228,1.0,0.007870586296745379,0.00489961990671106,47.680224855226804
fabianvb,0.0020615179200118294,1.0,0.007870586296745379,0.004849870740843933,47.196095175768285
felixfalafel,0.0018664497026207383,1.0,0.007870586296745379,0.004748435267800565,46.208984694732905
fabimol,0.004809062394308601,0.5814701698413474,0.004576511150719516,0.00469743779738584,45.71270724817193
simondlr,0.00876173371100004,1.0548116132417948,0.0002537157448215503,0.004677885087234365,45.52243175041864
david (please dyor...)#4116,0.001622618106149523,1.0,0.007870586296745379,0.0046216428376355334,44.97511519152332
jameszaki,0.0014555406736913598,1.0,0.007870586296745379,0.004534762572757289,44.12964745244373
krisjones,0.0044172734689812265,0.5764260443094931,0.00453681092542944,0.004474651448076369,43.544681272279206
coachb,0.0013033349656104412,1.0,0.007870586296745379,0.004455615604555211,43.35943561717144
vivszaid,0.0025546658747685022,0.8264416152069924,0.006504580051708272,0.004450624679699591,43.31086686614944
freddbomba,0.0012361974322537908,1.0,0.007870586296745379,0.004420704087209753,43.01969722342612
papa_raw,0.001150878240372303,1.0,0.007870586296745379,0.004376338107431379,42.587953551053126
chriscyber,0.0010500975212534229,1.0,0.007870586296745379,0.004323932133489561,42.07796937495805
markusbkoch#6770,0.000811821193454915,1.0,0.007870586296745379,0.004200028443034337,40.87221139091411
officialnico,0.0006767449395519557,1.0,0.007870586296745379,0.004129788791004799,40.18868032803838
tannra,0.006664342829702037,1.0248929454423847,0.0013540210482966533,0.004115388374627453,40.048543928898475
gfriis,0.0012155769219955076,0.9177097596829694,0.007222913858950274,0.004099098651733795,39.89002190776473
sgonzt,0.006463800334764878,0.9825084946649678,0.0012980255038563075,0.003984228415928764,38.772172201738584
adriamb,0.0003356055689494179,1.0,0.007870586296745379,0.003952396318291479,38.462400912973834
sponnet2,0.006280050552921044,1.0,0.0013211341285134944,0.00389977066920542,37.950278987324324
blairv,0.006240547577305982,1.0,0.0013211341285134944,0.0038792291218855877,37.75038070669599
danibelle,0.0058211123250104906,0.9870083861769148,0.001303970464107349,0.0036528842317769825,35.54772510060954
kristoferkristofer,0.006747831348079711,0.9429902988988137,0.0002537157448215503,0.003630655858515794,35.33141162008676
rdfbbx#6437,0.004685079793646269,1.0,0.0013211341285134944,0.0030703858743825374,29.879193012982594
owocki,0.004634009870918022,1.0,0.0013211341285134944,0.003043829514563849,29.620762107810332
ethicraul,0.004389297370393796,1.0943836318587192,0.0014458275657351018,0.002976431864157623,28.964887736477728
niranb,0.004237199798766026,1.0,0.0013211341285134944,0.0028374882770448107,27.612770306581474
nathalia#0926,0.003911649321124066,1.0895715116415703,0.0014394701094857167,0.0027250032995376587,26.518132534163666
loie_giveth,0.003761751262623462,1.0,0.0013211341285134944,0.0025902550382506774,25.20684155254814
letty#5399,0.00363613136306472,1.0,0.0013211341285134944,0.002524932690480132,24.571162808263335
hbesso31,0.003497568045442397,1.0,0.0013211341285134944,0.0024528797653165235,23.869986035638167
pavl#1561,0.0034140107910927728,1.0,0.0013211341285134944,0.0024094299930547194,23.447158357002607
rosamoc,0.0031988416345718703,1.0,0.0013211341285134944,0.00229754203166385,22.35833039498
tylerdmace,0.0030468429241369377,1.0,0.0013211341285134944,0.002218502702237685,21.589166037090937
rubenrussel7,0.0029782769216417765,0.9360018757905882,0.001236584022459595,0.0021422643300343294,20.847258950732364
maghaali#6154,0.0026979018496744206,1.0,0.0013211341285134944,0.002037053343517176,19.823407388796515
t wells#9070,0.002617222801290109,1.0,0.0013211341285134944,0.001995100238357334,19.41514439585366
elihanover,0.0024465609743996967,1.0,0.0013211341285134944,0.0019063560883743197,18.551538421035005
